date,LDI_CORP,LDI_TSY,LDI_STRIPS,EQ_CORE,CASH,MOM_EQ,BAB_EQ,MOM_CMD
2011-01-31,,,,,,,,
2011-02-28,0.017533943575719357,0.007499192497350871,0.027037676555278,0.034737551459944394,0.0,,,0.019330815110965016
2011-03-31,-0.0063075289610222685,-0.002052908648492724,-0.0012186557663521613,0.00012002708365232984,0.0,,,-0.021160927822466036
2011-04-30,0.027159308010330285,0.019280219018396716,0.031186167998017655,0.028961152483110375,0.0,,,-0.004966361319348134
2011-05-31,0.027410988985715035,0.028431807188034286,0.057290472017777594,-0.011214136079299997,0.00021817704431570384,,,-0.018916885312225906
2011-06-30,-0.021191067613172132,-0.013729117630596699,-0.04341274886258639,-0.016869637841328777,0.0,,-0.011637191602505759,-0.024325042799353436
2011-07-31,0.039286334031800596,0.039373796235867786,0.059928817415608515,-0.02000479324393456,0.0,,-0.023381892236843727,-0.001000000000000223
2011-08-31,0.01236966469613554,0.06527687282688066,0.16371178079832527,-0.05497528916990102,0.0,,0.0007034314900578043,0.0
2011-09-30,0.03395856374132178,0.05056135976958065,0.23764282328588582,-0.06942117821925353,-0.0002181294534763234,,-0.021425914332634743,-0.11162347246832649
2011-10-31,0.03384132312746191,-0.020468478202908424,-0.06677445524739078,0.10914721548841655,-0.00043624989711088524,,0.05950395917030371,0.0587118747477946
2011-11-30,-0.032817795940597416,0.011332918854658258,0.03456083211657779,-0.004063737214547447,0.000218063791580958,,0.010450659965574483,0.01667269395230697
2011-12-31,0.04319604760347495,0.02365508619043566,0.05426045101578647,0.010448705374307865,-0.00017455890008089003,,0.031178115699267428,-0.0011744545585475885
2012-01-31,0.01655154367594447,0.00571636257193342,-0.015253264112651932,0.046374396123925354,-0.0002179500809885715,,-0.005518282550036946,-0.00021899222301380306
2012-02-29,0.012747545854552733,-0.014646722103541898,-0.03281102031184424,0.04340509049772101,0.00021799759358187565,,0.018219780348800674,0.0002190401911126294
2012-03-31,-0.03733368875710219,-0.026129793487209563,-0.06627900599175085,0.03216402789900763,-0.0002179500809885715,,0.028704278276349582,-0.00021899222301380306
2012-04-30,0.02237886433059244,0.03567573524202827,0.06716221165470238,-0.006675889107680577,0.00021799759358187565,,0.010653603087087848,0.0002190401911121853
2012-05-31,0.029496860673023706,0.04918439649833406,0.14084226717336623,-0.06005550801422821,0.0,,-0.015438216827340145,0.0
2012-06-30,0.009793936017684857,-0.009806071838164843,-0.022255846358084308,0.04058105028748282,-0.0004365255567576609,,0.04167518113586266,-0.0004371505870157666
2012-07-31,0.05421281363482322,0.021439285270996145,0.058143898681096484,0.011829357767479731,0.0,,0.020279208961065498,0.0
2012-08-31,-0.0016873684969140879,-0.005170191367904975,-0.025395172733549187,0.02505286683800767,0.0,,-0.008605873742894454,0.0
2012-09-30,-8.294677861986344e-05,-0.010019761151163875,-0.040295142085235214,0.025350745805337915,0.0,,0.016965300572071573,0.0
2012-10-31,0.013125465856766327,-0.003222760502635924,-0.003920143303123291,-0.018197844215056103,0.0002186709312190782,,7.967612393366963e-05,0.00021825377376738508
2012-11-30,-0.007405970613753476,0.011611320257023383,0.017830429176956653,0.0056594511094940625,-0.0002186231246967818,,-0.0019675852819309725,-0.0002182061494515608
2012-12-31,-0.005878326602058892,-0.01697943569357152,-0.035945211007652356,0.008934180565967287,0.0,,-0.006955837554962985,0.0
2013-01-31,-0.02271511197246201,-0.01994661176603507,-0.0502587111045284,0.05119051257096108,0.0,,0.048571934439639364,0.0
2013-02-28,0.01733910778905634,0.011793174336564904,0.015521252654600692,0.012758633812404385,0.0,,0.02829382160865146,0.0
2013-03-31,-0.010951294585502924,0.003730006825549248,-0.007010389827659447,0.03797125932760159,0.0,,0.04891313164224642,0.0
2013-04-30,0.04499787731685134,0.024770836733903234,0.07324190744154313,0.019212472212893683,-0.00021794098533522988,,0.037708743729605754,-0.00021794093988225516
2013-05-31,-0.05805057897928778,-0.04340785079521825,-0.09772009727726949,0.023609264922501705,0.0002179884939623733,,-0.03610397041647684,0.0002179884484896366
2013-06-30,-0.04421490702505393,-0.029673053769246005,-0.04565003209949081,-0.013344440534245772,-0.00021794098533522988,,0.00784183295648977,-0.00021794093988225516
2013-07-31,0.009834820266833022,-0.009326412557412955,-0.03612109092926208,0.05167684706065434,0.0,,0.04188729778427702,0.0
2013-08-31,-0.014606448929381455,-0.009697548904491038,-0.011396593019588397,-0.029992386860284825,0.0,,-0.05041175913568918,0.0
2013-09-30,0.005719412293797799,0.014341311416248281,-0.0040909331029218565,0.03164715772534299,-0.0002179884939623733,,0.020403907883459693,-0.00021830135056877253
2013-10-31,0.025023463461454565,0.010131580677827934,0.01888743435794682,0.04630664662272421,-0.00021866196404340954,,0.04642058807505589,-0.00021866198685482896
2013-11-30,-0.009287774156900408,-0.018114694132733478,-0.04366643595623931,0.029637538641711814,-0.00021860544128249337,,0.011071672449859182,-0.00021808373267540038
2013-12-31,0.0084652235598075,-0.018352407788480685,-0.020093955702813915,0.025926353701177796,0.0,,0.011264363232051267,0.0
2014-01-31,0.036510554105525284,0.040853351135031524,0.09710521841982467,-0.03524820485574853,0.0,,-0.02572979649112639,0.0
2014-02-28,0.013807542414283391,0.005333583321038837,0.0034904935666517645,0.045515534856976236,0.0002186532400705321,,0.03794386976369535,0.00021813130356407306
2014-03-31,0.008389608716388608,0.0003729072480904705,0.01923908073452374,0.008295600553498428,-0.00021860544128249337,,0.021307166475134975,-0.0002180837326750673
2014-04-30,0.0258740780887996,0.011311830947438262,0.029444448532929046,0.006951846832163433,0.0,,0.018540889310761255,0.0
2014-05-31,0.018616047521286427,0.02175832079487705,0.040986616774087326,0.023206216205397423,0.0,,0.010720043356195363,-0.05429703247783901
2014-06-30,0.0007437100956841913,-0.0028543650268110232,-0.002564515563316605,0.02064451824526703,-0.0002181313946287844,,0.022089400450252317,-0.0012188618868774759
2014-07-31,0.0009557765810939145,0.0006355697770998869,0.01479881437417685,-0.01343708139032973,-0.00021880533747231645,,-0.03999420739554016,-0.0668436549115845
2014-08-31,0.03256351210660391,0.02666824758302977,0.06971460752858016,0.03946325267710171,0.00021885322372572347,,0.038487862661110706,-0.0007815644579060033
2014-09-30,-0.029645269580701683,-0.013023371974242304,-0.02969609386343275,-0.013796158895570954,0.0,,-0.008622912751350187,0.0
2014-10-31,0.022972891340992563,0.018002979274443165,0.04193688318381272,0.02355061003450687,-0.00021880533747231645,,0.04886498315993859,-0.00021838783842809129
2014-11-30,0.006027569829672785,0.01214512915689081,0.04340590117017573,0.02747199252956034,0.0,,0.028853307147885587,0.0
2014-12-31,0.0177637562687305,0.014233454489475328,0.041600206709101695,-0.0025364612949400067,-0.00021885322372572347,,0.011872971775887642,-0.0002186443714841113
2015-01-31,0.056373998244000356,0.04949256784533951,0.14248820490313463,-0.029629581030784058,-0.0002183789431315919,,-0.005677857168716716,-0.00021879662482970907
2015-02-28,-0.03190762879543729,-0.02880883939127976,-0.09117192267953933,0.05620472096723694,0.0,,0.01461401323535716,0.0
2015-03-31,0.00184221953617425,0.009110401394424539,0.014458950595162667,-0.015705407830158724,0.0,,-0.003495138910971529,0.0
2015-04-30,-0.0203920706132934,-0.01098821594957522,-0.056159128369661415,0.009834135108374609,-0.00021863556365986359,,-0.020399064292381697,-0.00021842666572791103
2015-05-31,-0.028553212550232687,-0.005133739332992215,-0.036401985356941724,0.012855596832589189,-0.00021910130849556175,,0.009397293503070392,-0.00021910128560320707
2015-06-30,-0.036807386729412306,-0.019944117286392227,-0.06090194794646908,-0.020311769703492355,0.0,,-0.017130059547146193,0.0
2015-07-31,0.02770226587376068,0.024977694007647155,0.07037634702812823,0.022589467411987973,0.0,,0.04289388208499334,0.0
2015-08-31,-0.02118355232446556,-0.0053545375242509685,-0.00790002926817479,-0.06095048507763745,0.0,,-0.050107648359860035,0.0
2015-09-30,0.014110061151544562,0.018323935171717043,0.022112444248257868,-0.025515821666732053,-0.00043694006929595464,,-0.0036481579477883885,-0.0004372535419470136
2015-10-31,0.00958052959693556,-0.00776451384361132,-0.004051275311921176,0.08505968383033036,-0.0002193496731762723,,0.0687958019286583,-0.0002184087526602152
2015-11-30,-0.0026106181655041194,-0.003971884999587005,-0.014322150727178795,0.003655244843787875,0.0002193977980116113,0.010313171372404284,0.01065649379192024,0.00021845646546436726
2015-12-31,-0.012809255654092744,-0.0036122485905546453,-0.007363414635360166,-0.01728242933242463,-0.0002193496731762723,-0.021158263793572663,-0.0015731536223254627,-0.0002184087526602152
2016-01-31,-0.004039556362553598,0.03703111799174574,0.08427549883065732,-0.049786868802908835,0.0002193977980116113,-0.03992226864214954,-0.01756248767440416,0.00021845646546436726
2016-02-29,0.01043715192331418,0.01857423690190174,0.04073661220013958,-0.0008259245379658164,0.0,-0.0020187014532981884,0.009885943592599533,0.0
2016-03-31,0.0638675237509625,0.0012941575169600483,-0.0019154756069863499,0.06726600679594585,0.0,0.05380227987866437,0.05991345892670119,0.0
2016-04-30,0.023221645872812946,-0.003764490788091157,-0.011041821517735029,0.003941235084456984,0.00043713106937559587,0.0049902652554663085,-0.007968667670382401,0.000437444816242305
2016-05-31,-0.003289146789610342,0.0029100914562742997,0.01020836313398199,0.017011842129951438,0.0,0.00038222615486072087,0.01678399368471739,0.0
2016-06-30,0.04737189765705074,0.04183742313101724,0.09719523515499406,0.0034754931481246754,-0.0002183132754746131,-0.005641024882227619,0.05740806009981281,-0.000218208746554871
2016-07-31,0.025504965110951128,0.006571599303931253,0.03352135663964684,0.036471554031519915,0.0004375581246212068,0.048459268548857404,0.0022347153543189613,0.01884656031160903
2016-08-31,0.001588506589259353,-0.011194055929659386,-0.014710820371391264,0.0011973002661092025,0.0,0.0,-0.019058075198870372,-0.001000000000000112
2016-09-30,-0.004472557664046972,-0.0031593773426771277,-0.023323135692429053,5.793105857931913e-05,0.00021868337562280793,0.004960045088738596,-0.008917524163400081,0.0002184743863595795
2016-10-31,-0.024881655599035324,-0.022790337279468775,-0.06184530422111678,-0.017336863270103864,0.00021842664291105152,-0.018620995159685294,-0.023239164821438396,0.00021884450726927795
2016-11-30,-0.048949545230236424,-0.05244745548598373,-0.11489481452673089,0.036838367118307014,-0.0004369667613880468,-0.0062501803828376445,0.0052611716780301965,-0.0004371754995404764
2016-12-31,0.021434915075056127,-0.0029820923579749747,-0.003560814168437121,0.020272091601169162,0.00021868337562280793,0.03328559644812468,0.025923568842171285,0.000218265419945185
2017-01-31,0.0014545244379369215,0.004589026746255387,0.012520512466477118,0.017894330988684315,0.0004378978895662744,0.00913095071902692,0.007588679655031072,0.0004377935663879562
2017-02-28,0.018159827696691,0.010941824595767757,0.019496615399731354,0.039291695064984866,0.000502756546798544,0.039842591833903374,0.04352241584155325,0.010484109359151006
2017-03-31,-0.006519942689510394,-0.0015524572636212985,-0.009681682954187809,0.0012497671532210042,-0.00017470229382854363,-0.01878677651218119,-0.0002738552071122058,-0.0011749109999400487
2017-04-30,0.011899436003330432,0.012957484440039302,0.01844327067244511,0.00992631169706848,0.000743606099198324,0.026118037325028487,0.010369634529552307,0.0007440236985325477
2017-05-31,0.024698108862341472,0.009400161486612824,0.03197896501655206,0.014112852430425704,0.00015353380690297236,0.01854911126349501,0.02726889583761105,0.00015353375886095755
2017-06-30,0.0115030838786363,-0.0030264845822602915,0.012513680106071456,0.006374869322960608,0.0010288940265223978,0.015336386410257585,-0.003075067285145283,0.001028580844181004
2017-07-31,0.007807866749661274,0.0009907518789302738,-0.01260098346351135,0.020554212318572462,0.0003276450199050096,0.023263591182520083,0.013729651843655155,0.00032795755887482514
2017-08-31,0.011660787523183558,0.020945638355058582,0.048892188865445885,0.0029179440468185547,0.0011383106844569113,0.010642647373942049,0.007603674925854342,0.0011377896013007316
2017-09-30,0.00011668420735122531,-0.01678462654389523,-0.03369718600723692,0.02014925230199416,0.0007218441761145389,0.012117412680816564,0.007774280408862078,0.0007220523805779866
2017-10-31,0.0070859062042922805,-0.0008955187162752454,0.0009419796385177204,0.023563920913943548,0.0007000133162615718,0.07779548946179027,0.01798393662527631,0.0006999093641801846
2017-11-30,0.001698253902917779,-0.0014792124302210885,0.01352199876555682,0.03056609131565735,0.0005469248539793359,0.026135480877258477,0.03882040726587621,0.0005469249107936669
